sentence	sentiment
The dividend proposal of the Executive Board for fiscal 2008 will thus be based on a payout ratio of 70-80 % of recurrent net income, irrespective of the deconsolidation of American Water. 	0
The ongoing recession in many European countries has put pressure on the European steel industry in the form of a structural crisis. 	0
Thus the announcement published in the Federal Gazette on April 28, 2016, is void. 	0
As the real estate industry entered 2010, conditions were still challenging. 	0
Major markets like Brazil are in a recession or face lower growth rates, such as China. 	0
The employees' representatives at the Trappenkamp site, however, are not prepared to support the structural concept and the associated personnel measures. 	0
This reduction results both from lower order volumes placed by our Wholesale customers and from a shift in Wholesale revenues to the Retail segment. 	0
Instead they are now reported as personnel expenses for the years 2013 and 2014. 	0
On 8 August 2008, the company thus decided to reduce its earnings forecast for the 2008 financial year. 	0
E.ON expects adjusted net income to decline by around 10 percent relative to the prior year due to higher interest expenses resulting from increased indebtedness. 	0
There are also no signs of a long-term recovery in market conditions. 	0
It is not yet possible to foresee whether one or more takeover offers of the three potential bidders will indeed materialise. 	0
The global economic slowdown will dampen demand for commercial vehicles also in the growth regions of Asia, Eastern Europe and Latin America. 	0
During the subscription period from 23 March to 6 April 2011, the subscription rights were completely exhausted, and in addition oversubscription orders were placed and all shares were subscribed at the subscription price of EUR 1.70. 	0
This restriction applies, subject to other payment conditions under the terms of the individual instruments, to payments in 2010 for the fiscal year 2009 and for payments in 2011 for the fiscal year 2010. 	0
Such formal approval and authorization is currently still outstanding and is expected to take place within the following months. 	0
In a challenging market, EADS maintains its estimate for new gross orders figure of up to 300 aircraft in 2009. 	1
----- Intense Production Activity During First Quarter of 2001 Munich, 11 May 2001 - Intense production activity dominated business in the first quarter of 2001. 	1
In order to save the existing authorized capital, a general meeting of the shareholders shall be convened instead which shall resolve a capital increase against contributions in kind. 	0
The Bonds were offered only to institutional investors outside the US, Canada, Australia, South Africa, Japan or any other jurisdiction in which offers or sales of the securities would be prohibited by applicable law. 	0
By returning licensing rights for 15 series a write - off of approximately Euro 8 million will be necessary. 	0
Discussions are at a preliminary stage and there can be no certainty as to their outcome. 	0
----- Investors jump on board net AG Cologne, 19 August 2004 - Investment group assumes bank liabilities of net AG and agrees long-term financing - Interest burden halved - Further cost reductions through termination of bank pool - Investment group finances recapitalisation at net mobile AG, a subsidiary of net AG On Thursday 19 August 2004, an investment group led by Grünwald Equity Partners acquired and refinanced the liabilities of net AG owed to its creditors worth approximately EUR5.4 million. 	0
All Shares purchased by IMZ under the Repurchase Program will be cancelled. 	0
The alterations are based on the investigations by the tax authorities and the public prosecutor in connection with the Russia business of Biotest AG. 	0
As a result, earnings per share declined from EUR 4.04 to EUR 3.02. 	0
The decline was primarily the result of the lower figure of distributed units in the first half year of 2006, while the third quarter showed itself stable compared to the previous year. 	0
With the change of the trading segment reduced costs are expected, as a listing on the regulated market is associated with more administrational effort and therefore higher costs. 	0
High losses in the third quater - Switch into the Geregelter Markt Ad-hoc-announcement transmitted by DGAP. 	0
The emission levels are significantly below the permitted limit. 	1
Thirty percent of net mobile following this capital increase, while net AG, with seventy percent, will continue to hold the majority of the company. 	0
On a consolidated level, however, 2012 will still likely show a loss. 	0
The lower earnings forecast was largely attributable to significant write-downs on the investment held by HCI Real Estate Finance I GmbH & Co.. 	0
These costs are higher by 5 % compared to Calendar Q2, due primarily to lower gold production than realized during Calendar Q2. 	0
The 95 % equity interest in this company was sold on 1 September 2009 and is reported separately under discontinued operation. 	0
The segment mainly affected was MPS, whereas the EPS segment ended financial year 2008 in profit even after extraordinary expenses and in spite of difficult second-half market conditions. 	0
- Downturn in sales with the partner U.S. Medical, Inc.: As a result of the hesitant purchasing policy in the USA, U.S. Medical did not place any new orders in the third quarter. 	0
In an unprecedented move a competitor has announced its plan to enter the market, even though it is still involved in active patent infringement litigation and no court decision has been rendered. 	0
POLIS had intended to pay a dividend for 2008 which will now be curtailed due to the negative result pursuant to the German commercial code. 	0
To this end, Intershop will issue up to 1,916,113 new common bearer shares from authorized capital. 	0
Hence the results for this first quarter, which is usually the weakest, meet expectations. 	0
No decision has been made on resuming share buybacks in 2009. 	0
One reason for this negative outcome was the declining development of the listed portfolio companies in 2011 and the non-recurring effect of deconsolidation of Impera Total Return AG, Frankfurt. 	0
For the entire fiscal year, HanseYachts' management is expecting turnover to decrease on the order of the current percentage figure. 	0
The retained earnings for the year were almost fully offset by writing back reserves to ensure that dividends can be distributed in future. 	0
This is because of the current decline in consumer spending and the associated price pressure. 	0
Improved project controlling and the reduction of costs for external service providers made it possible to reduce manufacturing costs to their usual level. 	0
The Supervisory Board of Celesio AG has decided today to dismiss Markus Pinger as Chief Executive Officer and Member of the Board of the company with immediate effect. 	0
The results are unaudited. 	0
The Board of Directors is authorised to sell the company shares that have been bought back to investors. 	0
First-quarter revenue decreased by 27 % to EUR9.1 billion. 	0
No further earnings figures were adjusted, as no contribution to earnings had been planned for Helvetic Energy for the reporting period. 	0
The Management Board expects to post a clear loss in business 2009, which, so the budget plans, should be appreciably reduced in business 2010. 	0
This does not take into account the special effects from the successfully completed financial restructuring as well as the positive special effects from the initial consolidation of assets that are to be taken over from Bosch Solar Energy AG. 	1
There was no recognisable improvement in the situation at the sub-groups during the third quarter. 	0
In the Final Assembly Systems business unit, unforeseen expenses of 7 to 8 million euros were incurred by the US subsidiary Dürr Production Systems. 	0
According to a ruling of the German Federal Finance Court published on January 13, 2016, dividend income generated by a borrower from a securities lending transaction can no longer be deemed tax exempt under certain circumstances. 	0
This is also underscored in view of the development of the current fiscal year so far. 	0
The company continues to do everything in its powers to be removed from the OFAC sanctions list in order to regain full operative capacity as soon as possible. 	0
One-off expense of approximately six million Euro is expected to be incurred in the fourth quarter of 2011 as part of this transaction. 	0
On a comparable basis sales were 3 percent lower. 	0
Milk segmentation makes it challenging to procure the right quantity of milk in each segment. 	0
Furthermore, Mehmet Dalman, Dr. Stefan Jentzsch and Hessel Lindenbergh resigned their posts. 	0
Management board and supervisory board came to the conclusion that the 75 % - majority required for the capital increase to be resolved at the extraordinary general meeting will not be reached. 	0
The Board of Management has excluded shareholders' subscription right to these new shares with the consent of the Supervisory Board. 	0
Only trading business in Europe belonging to the ` Powder and Granules' segment is concerned. 	0
However, an attempt by a representative of the Ultrasonic Supervisory Board to personally contact Mr. Wu in Xiamen has not been successful yet. 	0
The Company today has a different view on a planned portfolio transaction and hence maintains the balance sheet structure of its property assets unchanged from the previous year - a decision that was taken in close coordination with its auditors. 	1
As communicated since the beginning of the year, 2005 will be a year of transition for the SINGULUS Group with a significant decline in revenues and earnings compared with 2004. 	0
Due to expected market conditions accurate earnings predictions, especially for Banking, are not feasible. 	0
Notwithstanding, HSH Nordbank AG has highly surprisingly informed Rickmers Holding AG that the board of HSH Nordbank AG has rejected the credit applications of Rickmers Group and denied approval to the term sheet dated 19 April 2017 and rejected further negotiations of the restructuring. 	0
Currently the management board of the Company is expecting the shares not to be traded any more on any regulated market six months after the revocation decision of the Frankfurt Stock Exchange has been published. 	0
Once planning permission is granted, Holmes Investment Properties will fund and build each site to shell and core before passing over to our partner to fit out and open. 	0
Deutsche Telekom expects additional cash outflows as a result of the acquisition of additional mobile communications licenses in the U.S. and the reintegration of T-Online. 	1
The possibility of relocating further positions will be analyzed as part of a new location concept. 	1
Regarding its funding need, no definitive solution has been secured at this stage. 	0
The IT market remains in decline, from todays point of view recovery in the second half-year will not materialise. 	0
There are anti-trust concerns under European law regarding the effectiveness of the underlying supply contracts. 	0
The direct and indirect consequences of this crisis have considerably burdened Salzgitter AG. 	0
The Management Board of WCM regrets that it was not possible to come to such an agreement with the other partners of SIRIUS under economically viable conditions. 	0
According to WCM, a joint procedure would have enabled the disposal of the IVG shares in an optimised process, and would have been beneficial both for the banks involved and the partners of SIRIUS. 	0
Ad hoc announcement § 15 WpHG Strategische Unternehmensentscheidung Sauer-Danfoss Inc. applies for delisting from Frankfurt Stock Exchange Ad hoc announcement transmitted by DGAP. 	0
This also means that KHD will not receive the forecasted down payments for this project and therefore operating cash flow for the 2014 financial year is now forecasted to be significantly negative. 	0
Previously, Fresenius Kabi projected low single-digit organic sales growth and EBIT ** in constant currency to be roughly flat compared with 2015. 	0
No cash compensation above and beyond this will be made. 	0
Due to disagreements concerning the orientation and funding of Petshop.de GmbH, Novavisions decided to sell its stake. 	0
This was mainly due to the slump of more than 45 % at the plenum Communication division. 	0
Despite the overall defence environment, defence revenues were flat compared to 2011. 	1
Even taking into account the reduction of the participation in plenum Systems Schweiz AG, sales were down by more than 20 % on the previous year. 	0
Unfortunately, two companies, Natoil AG and Qualilife AG, had to file for bankruptcy due to their own problems and the limited financing options available to New Value AG. 	0
F.A.M.E. sees itself confronted with a national media market that is now exhibiting persistent weakness. 	0
Gold production was 11 % lower for Calendar Q3 at 8,265 ounces compared to 9.319 ounces Calendar Q2, due to a slightly lower gold grade and recoveries in the current quarter. 	0
No approach has been made to the Board of Scottish Power and there can be no assurance that a transaction will be forthcoming. 	0
The properties are located in Munster, within commuting distance from the two major cities of Hamburg and Hanover. 	1
On the basis of the figures for the months of January and February turnover of the Group has declined organically by about 30 percent compared to the respective figures of the prior year. 	0
We confirm that talks have also been held with Thomas Blades, but these talks have not been completed. 	0
But it is only realistic to expect a drop in demand. 	0
However the recovery was accompanied by weak transaction volumes whereas especially retail investors showed reluctance regarding transactions. 	0
This would have resulted in a negative cashflow for RTV of more than US$ 3 million. 	0
The big challenge in future will be to distribute agricultural raw materials justly and not to let them become the domain of speculators or large corporate groups.' 	0
The intention is to reduce the personnel at the location Bietigheim-Bissingen by 33 employees down to 90 employees. 	0
Next to the revenue decline and the increased cost of materials, this development is due to depreciation being up year-on-year due to a higher level of investment in showroom kitchens. 	0
Outlook for full-year 2005 Earnings in full-year 2005 will be impacted above all by the less favorable dollar-euro exchange rate and hedging rates than in the prior year, as well as by increases in raw-material prices. 	0
In view of the aforementioned negative influences, and due to the operating development anticipated, adjusting our profit guidance has become necessary. 	0
The one-time expenditures, which will be incurred here for the restructurings and write-downs, will additionally reduce results significantly in the current fiscal year. 	0
Efficiency ratios deteriorated slightly in 2005. 	0
Potential benefits from current discussions with customers might reduce such impacts, but would only be taken into account once agreed upon by OCCAR and the launch nations. 	0
This business unit provides a range of consumer energy storage products to a diversified customer base. 	1
However, for reasons beyond control of Leclanché, this order was cancelled by Younicos just before shipment. 	0
This also applies for the Internet business, which despite a plus of 47 % is developing slower than expected. 	0
If this were to occur, the company plans to convene a bondholders' meeting to coordinate a corresponding amendment to the bond terms. 	0
The adjusted EBIT margin is expected to reach at least the lower half of the target corridor of 13-15 %. 	1
Within the report period, production costs amounted approximately 40 % and expenditures for sales and marketing 21 % of the turnover. 	0
The company achieved a net loss of EUR 9 million, resulting in a loss per share of EUR 0.21. 	0
All of the above information on the financial data is preliminary and has not been conclusively reviewed, in particular by an auditor. 	0
The loss of the Euskirchen location has deprived the Group of sales of a good EUR 5 million, and a further amount of almost EUR 3 million is no longer included due to deconsolidated companies. 	0
The distribution proposal is subject to the approval of the shareholders annual general meeting of CANCOM AG on 21 June 2012 in Munich, Germany. 	0
Any such non-payment of interest will not constitute an event of default or other breach of obligations. 	0
In the event of the loss allocation being fully or partially unjustified, pbb would have to bear the losses to that extent. 	0
This would not be in accordance with the future plans of caatoosee ag. 	0
Nevertheless, this is challenged by the deterioration of the macro-economic and traffic indicators, even if the negative trend was stopped or slightly reversed recently. 	0
The banks financing Nordex and a group of investors under the lead of the private equity investor CMP Capital Management Partners with the participation of the investment bank Goldman Sachs have signed agreements undertaking to participate in the implementation of the recapitalization concept. 	1
The auditor of Powerland AG, BDO AG Wirtschaftsprüfungsgesellschaft, needs more time for the audit than envisaged beforehand, as additional auditing procedures related to internal control mechanisms have turned out to be indispensable. 	0
The Management Board is of the view that the offered purchase price per T-Online share is significantly below the per share company value of T-Online established by performing a discounted future earnings valuation or on the basis of other internationally recognized valuation methods. 	0
We believe that price pressure will continue unabated. 	0
Therefore some orders could not be delivered and billed by the end of the fiscal year. 	0
The mobile communications provider is confident that the transaction will have a positive impact on its EBITDA and free cash flow. 	1
---------------------------------------------------------------------- The strong business decline in the fourth quarter of 2008 caused by the global financial and economic crisis has continued in the beginning of 2009 at TAKKT. 	0
- Problems with suppliers: New products such as KEY 3 could not be delivered to the extent planned as the system components did not correspond in terms of quality and quantity with the original agreements. 	0
If not enough sales offers have been submitted and/or the discussions with investors have not led to final results by Monday, September 28, 2015, with high probability the Company will have to file for insolvency proceedings. 	0
The determining factors behind this are the repercussions of the financial crisis, the volatile trend for commodity prices, and in particular, the continuing high level of the diesel price. 	0
The lowered expectations are primarily driven by the fact that both major markets, in Europe and in the U.S., continue to remain weak. 	0
----- WCM Beteiligungs - und Grundbesitz-Aktiengesellschaft announces that the management of SIRIUS Beteiligungsgesellschaft GmbH, Wackerow, today applied for the opening of insolvency procedures at Stralsund County Court. 	0
Rohwedder AG / Capital Increase Release of an Ad hoc announcement according to § 15 WpHG, transmitted by DGAP - a company of EquityStory AG. 	0
For the fiscal year 2011 the Board anticipates a slight increase in sales above the previous year in the German segment, while sales stagnate in the segments of Western and Southern Europe. 	1
However, this was almost offset by an increased profit contribution of the overall portfolio, which, adjusted for currency translation effects, expanded slightly, and by efficiency improvements. 	1
The industrial storage systems using the large-format lithium-ion cells will be developed in conjunction with a third party partner and is expected to be available for commercial launch in the first half of 2014. 	1
While we shall see positive effects from our attractive model range and strong market position, there will also be increasingly stiff competition in a challenging market environment. 	1
Potential synergies between their respective gas and power businesses is one area to be exploited. 	1
Aurubis confirms the general positive trend of business for the current fiscal year 2010/11. 	1
The supervisory board has already started looking for a suitable successor. 	1
As a result, Zalando reiterates its full year guidance of strong revenue growth at the upper end of the 20-25 % growth corridor and increases full-year adjusted EBIT margin guidance to 4.0-5.5 %. 	1
In future, customers will be able to use their electricity independently and flexibly at any time. 	1
Rhön-Klinikum sees itself well positioned for the future to continue playing an active role in the consolidation of the hospital market. 	1
In terms of demand, we are sensing increased reservation on the part of private apartment purchasers. 	1
Statements regarding the expected date of closing of the tender offer, and expected integration, growth and improved customer service benefits are forward-looking statements and are subject to risks and uncertainties including among others: uncertainties as to the timing of the tender offer, the satisfaction of closing conditions, including the receipt of regulatory approvals, whether certain industry segments will grow as anticipated, the competitive environment among providers of software solutions, and difficulties encountered in integrating companies and technologies. 	0
Trading of the new shares on the stock exchange is also scheduled to commence on 1 June 2011. 	0
Going forward R&D expenses should increase at Airbus, Eurocopter and Cassidian. 	0
Furthermore it will enhance the profitability of our K + K America division. 	1
Despite the current economic conditions, we have maintained the positive momentum we created in 2008 with an impressive start to this year. 	1
The improvement is driven by the working capital. 	1
The repurchase of 225,000 shares in net mobile from the financial investors will take place within the next few days. 	1
After the IPO in late 1999 the company developed within a few years from a solar trading house to an integrated solar technology group increasing the number of its employees to 617 staff by the end of 2004. 	1
To this end, 4,499,999 new shares without nominal value will be issued by the firm and offered in a private placement to institutional investors by its representative, the investment bank Goldman Sachs. 	0
Growth rates include 3 % from currency fluctuations. 	1
The extraordinary annual general meeting of HAITEC AG required to approve this transaction will be held in September 2005, with an invitation to be issued in the near future. 	1
With our new US production we are thus consistently living up to our claim of being the technology leader in this market'. 	1
Provisional figures show an increase in revenues of 4.9 percent to roughly 30 billion Euros compared with the first quarter of the previous year. 	1
Despite the still tense situation on both the American as well as the Asian markets, SINGULUS has overcome the previous weak quarters. 	1
Inorganic growth in particular has become more important in recent months. 	1
Together, we are in a strong position to support businesses seeking to extend their existing equipment and services with a digital solution.' 	1
Orders for analogue and digital developing and printing continue to be processed to the usual high standard. 	1
With the integration of kwb tools in the Group, Einhell is able to offer worldwide a completed assortment of accessories by its sales companies. 	1
Daimler Financial Services division expanded its worldwide contract volume by 11 % to $ 63.9 billion in the third quarter. 	1
CropEnergies sees itself as a pioneer in the German bioethanol market and is expanding its market position throughout Europe. 	1
The caatoosee group will also be able to react more flexibly to fluctuations in demand. 	1
Following the end of the subscription period there were sufficient shares remaining to allow Max Glory Industries Ltd. (` MGI') to subscribe for such a number of shares for MGI to hold 20 % of the company's shares following the implementation of the capital increase. 	0
As a member of the Board of Directors of SAF-HOLLAND S.A., Rudi Ludwig will continue to influence the strategic direction of the Company and will be at the disposal of the Company in the changing market environment. 	1
The primary reasons for the positive deviation in the results from market expectations are revenues from customer and capital market transactions of a comparable size, positive valuation effects and positive one-off effects. 	1
IC Green Energy would receive for the Petrotec shares as consideration shares in Renewable Energy Group, Inc. with a value per Petrotec share of USD 1.235. 	1
This will include a further increase in aircraft deliveries from its Airbus commercial aircraft business. 	1
In 2015, HUGO BOSS expects solid sales and profit growth. 	1
This strong performance was driven mainly by higher volume and more favourable U.S. dollar rates at Airbus Commercial as well as solid increases at Eurocopter and Astrium. 	1
---------------------------------------------------------------------- In the course of ongoing financing negotiations, SAF-HOLLAND and the banks today signed a fixed-term standstill agreement. 	1
At the same time, the company will explore strategic options for specific non-core businesses. 	1
The Gauss Group expects to reach a slightly positive EBITDA result in 2002, and continued increasing positive growth into the year 2003. 	1
The bank is to de-cide when to buy back shares independently and without any influence from eu-romicron AG. 	1
`` While these measures adversely affect our financial picture in the short run, they provide a healthy basis for the coming year as is reflected in our strict management and controlling of finances,'' says Max Reindl. 	1
The implementation of the capital increase is expected to be registered with the commercial register on 22 December 2016. 	0
This enabled it to raise the number of fee-based contracts organically by 930,000 contracts, thus clearly surpassing its upgraded forecast of approx. 880,000 contracts made in summer 2015. 	1
As a maximum-care hospital, HSK employs roughly 3,100 employees at three sites. 	1
Reduce costs by streamlining the organisation Although a number of measures have been taken to streamline the organisation, the Company is being managed for growth with ambitious targets being set for commercial development. 	1
The turnaround in Marketing Services is expected to be confirmed. 	1
The company combines unique winding technology for the highly efficient manufacturing of electric motors with decades of automation experience, particularly for the automotive industry. 	1
The financial situation of the company is solid. 	1
Following the successful conclusion of the transferring reorganization, the operative business of the S.A.G. Solarstrom Group will be continued with all business areas. 	1
On Thursday, Deutsche Börse AG published its figures for the second quarter of 2011. 	1
The goal of the acquisition is to further develop the already successful service activities of the MW Group. 	1
At Airbus, strong operational performance in series programmes, achievement of Power8 cost savings and lower exceptional charges than in the previous year contributed positively to the improvement. 	1
These funds should be mainly invested in the further buildup of the privatisation portfolio. 	1
We would also like to thank Mr Klaus Toennesmann who joined Leclanché as interim CFO at the end of 2012 for his contribution to the company during this period and wish him all the best as well. 	1
Due to a change in the business seasons, the fourth quarter now generates a higher contribution to sales than any other quarterly period. 	1
----- Extraordinary Shareholders' Meeting Approves Conversion of Preference Shares to Ordinary Shares Würzburg. 	0
The order intake in commercial aircraft has elevated our order book to record levels and I am pleased that the civilian helicopter market has also significantly gained momentum. 	1
The share purchase is intended to be implemented in a manner limiting the impact on the share price via those trading venues on which the EDAG shares are admitted to trading or on which they are traded. 	1
The provider of services and solutions intends to achieve this in the global growth industry of IT outsourcing and in the ASP business. 	1
Bilfinger Berger intends to reduce its construction business with an output volume of approximately EUR6 billion in 2008 to a level of around EUR2 billion in the mid-term. 	0
Overall, around 45,400 sqm of this volume was attributable to new leases and around 124,300 sqm to lease renewals. 	1
If the assumptions made in the business plan prove to be correct, an investment can be made in 2016 in a larger production facility. 	1
Given the sustainability of the earnings situation as a result of improvements in efficiency, Drillisch AG has firmed up its target for the year 2002. 	1
We wish him all the best and success. 	1
(Note: the high percentage change in the inferred resources is due to the modest amount of the previous resource estimate that was classified in the inferred category). 	1
Dividend forecast In view of this positive development, we are able to offer to our shareholders a reasonable and attractive return on their capital. 	1
The average maturity of the new credit agreements is around 10 years. 	1
Revenue growth supported by GERRY WEBER Retail expansion and HALLHUBER Sales revenues and earnings clearly lost momentum in the first half of the current financial year 2014/15. 	1
In addition, continued efficiency improvements within the context of the CORE program had a positive impact on earnings. 	1
This lucky deal represents a focused approach of expanding capacity and presence in the most expanding solar markets worldwide. 	1
Of this, around EUR 5 million was attributable to the fourth quarter. 	1
-- Kurt F. Viermetz will assume the chair of the Supervisory Board of Deutsche Börse taking effect as of the end of the Board meeting on October 10 when the current Chairman Dr. Rolf-E Breuer will resign. 	1
The Management Board and Supervisory Board of CANCOM SE would like to thank Mr von Szczytnicki for his many years of faithful and constructive service. 	1
As a leading constructor of special plants, BDI also supplies efficient plant concepts in the from waste to value field that are designed to produce BioGas from industrial and municipal waste. 	1
Based on this planning, a positive future for SKW Stahl-Metallurgie Holding AG as well as for the SKW Metallurgie Group can be expected. 	1
At the same time, the fuel price has gone up again by some 50 per cent since the end of the first quarter, without being based on any improvement in demand from the real economy. 	0
AG have reached a joint marketing agreement effective immediately in the areas of mobile and digital photography services. 	1
The Balda Group will concentrate to an even greater degree on these profitable growth markets in the future. 	1
The higher profits stem from a combination of a positive development in contract notes and trading volume, both reaching new record highs. 	1
The preliminary contract is subject to being approved by the relevant executive boards of the contracting parties. 	0
Information about New Value AG New Value, officially listed at the SIX Swiss Exchange, invests directly in promising private companies in Switzerland and neighbouring countries with above-average market and growth potential. 	1
SANDPIPER continued its international growth strategy. 	1
Despite the record level of commercial aircraft deliveries, EADS' customer financing gross exposure was broadly stable compared to the 2011 level. 	1
Group-wide efficiency measures are progressing well. 	1
With his investment and entrepreneurship experience, Mathys became a partner in Zug Finance AG in 2006. 	1
Continental AG / Capital Increase/Miscellaneous Release of an Ad hoc announcement according to § 15 WpHG, transmitted by DGAP - a company of EquityStory AG. 	1
This stock dividend will enable the shareholders to participate in the results of the 2002 fiscal year and will give them the opportunity of participating in the future development of HeidelbergCement. 	1
Essentially, the Vivanco Group will continue with the restructuring process started in 2002 by transferring several company functions to its head office in Ahrensburg and to other suppliers. 	1
Earnings per share increased from EUR 0.5 to EUR 0.9. 	1
United Internet AG will take a stake of 50 % in a newly established holding company, the remaining 50 % of this holding company will be owned by Drillisch AG. 	1
We also consider factoring solutions to support the trading of commodities and energy. 	1
Through this acquisition, NEXUS has completed another step in becoming a leading European E-Health company. 	1
----- CTS EVENTIM AG further strengthens its market leadership Bremen 27 March 2003. 	1
AIXTRON expects to generate revenues in 2016 of around the same level as 2015. 	1
The market environment in q1 carried forward the positive trend which was adopted in 2005. 	1
The ramp-up in inventories was overcompensated by higher advance payments received at Airbus. 	1
The Property and Casualty business delivered a solid performance in the third quarter. 	1
SoFFin, WestLB and its owners this evening agreed on a timetable to stabilise the bank. 	0
Further progress has been made with cutting costs in sales and admini-stration, and EBITDA has accordingly improved from EUR minus 1,177,000 in the corresponding period last year to the current figure of EUR 61,000. 	1
The proposed financial restructuring measures would significantly improve Q-Cells' balance sheet structure. 	1
GlobalWare AG therefore increases its share in GAP AG für GSM Applikationen und Produkte. 	1
----- Didier-Werke 2001: good sales development, special factors characterize result At its meeting on July 3, 2002, the Supervisory Board approved the financial statements 2001 of Didier-Werke AG and the Didier Group. 	1
While adapting to the changing business framework conditions, Eurohypo will be continued for the time being. 	1
Fresenius raises 2015 earnings guidance Based on the excellent financial results in the first half of 2015 and excellent prospects for the remainder of the year, Fresenius raises its 2015 earnings guidance. 	1
As a result, this project will be completed and the residential units will be handed over before the end of the year. 	1
This affects current forecasts on annual results considerably. 	0
The SolarWorld Group while exercising consistent cost management generated clearly positive results along the entire solar production chain thus demonstrating the earnings power of its strategy of full solar integration. 	1
According to this MLP AG has concluded the 2003 business year successfully. 	1
SAUER-DANFOSS updates earnings guidance for the third Quarter 2002 Ad-hoc-announcement transmitted by DGAP. 	1
SMA offers innovative key technologies for future power supply structures. 	1
Important note: This notice contains forward-looking statements concerning company activities, business and member development, financial results of the OPEN Business Club AG and/or the industry in which the company is active. 	1
This sales increase was even 14 % higher than the prior year adjusted for one-time hardware sales revenues. 	1
The gross proceeds amounting EUR 1,100,000.00 are to be used to support the overall working capital and further growth. 	1
Deutsche Wohnen is entitled to redeem the New Convertible Bonds from January 27, 2023 if the stock exchange price of the bearer shares of Deutsche Wohnen amounts to at least 130 % of the conversion price then in effect over a certain period. 	1
The company anticipates net revenue increases of between 5 and 10 per cent annually, based on its current business portfolio and assuming a continued recovery of the world economy as well as medium-term interest rate rises. 	1
The EBIT margin has thus stabilised above 2 %. 	1
Our Automotive and Industrial segment continued to perform in line with our expectations during the third quarter. 	1
The Group performed well in the first six months and our financial results demonstrate steady momentum. 	1
Both parties expect significant synergy effects. 	1
Comarch Software und Beratung AG will take all measures necessary to carry out such proceedings of exclusion. 	1
Profit Participation Certificates 2001 in an aggregate par value of EUR 214,295,210.00 have been validly offered for sale to Bertelsmann AG. 	1
The CVLP technology is a method for the creation of virus-like particles that MediGene employs for the development of a tumor vaccine to treat cervical carcinoma and its precursors. 	1
However, the FDA provided helpful guidance on how to amend the PMA to make it approvable. 	1
Sales at HanseYachts have increased on average by over 40 percent per year since fiscal year 1998/1999. 	1
To create a basis for comparison, MetroPCS is assumed to be included for the full 2013 financial year based on a pro forma calculation. 	1
Increasing long-term value of the independent subsidiaries and the group as a whole is at the heart of its business model which has been highly profitable from the outset. 	1
